sample-id	spaceflight	sample_type	location	sanitization	description
Q1_Fruit1	Space_Flight	fruit	Q1	Not Applicable	fruit from Q1
Q1_Fruit2	Space_Flight	fruit	Q1	Not Applicable	fruit from Q1
Q1_Fruit3	Space_Flight	fruit	Q1	Not Applicable	fruit from Q1
Q1_Leaf	Space_Flight	leaf	Q1	Not Applicable	leaf from Q1
Q1_Seed1	Space_Flight	seed	Q1	Sanitized	seed from Q1
Q1_Seed2	Space_Flight	seed	Q1	Sanitized	seed from Q1
Q1_Seed3	Space_Flight	seed	Q1	Sanitized	seed from Q1
Q1-Stem	Space_Flight	stem	Q1	Not Applicable	stem from Q1
Q2_Fruit1	Space_Flight	fruit	Q2	Not Applicable	fruit from Q2
Q2_Leaf	Space_Flight	leaf	Q2	Not Applicable	leaf from Q2
Q2_Seed1	Space_Flight	seed	Q2	Sanitized	seed from Q2
Q2-Stem	Space_Flight	stem	Q2	Not Applicable	stem from Q2
Q3_Fruit1	Space_Flight	fruit	Q3	Not Applicable	fruit from Q3
Q3_Fruit2	Space_Flight	fruit	Q3	Not Applicable	fruit from Q3
Q3_Fruit3	Space_Flight	fruit	Q3	Not Applicable	fruit from Q3
Q3_Leaf	Space_Flight	leaf	Q3	Not Applicable	leaf from Q3
Q3_Seed1	Space_Flight	seed	Q3	Sanitized	seed from Q3
Q3_Seed2	Space_Flight	seed	Q3	Sanitized	seed from Q3
Q3_Seed3	Space_Flight	seed	Q3	Sanitized	seed from Q3
Q3-Stem	Space_Flight	stem	Q3	Not Applicable	stem from Q3
Q4_Fruit1	Space_Flight	fruit	Q4	Not Applicable	fruit from Q4
Q4_Fruit2	Space_Flight	fruit	Q4	Not Applicable	fruit from Q4
Q4_Fruit3	Space_Flight	fruit	Q4	Not Applicable	fruit from Q4
Q4_Leaf	Space_Flight	leaf	Q4	Not Applicable	leaf from Q4
Q4_Seed1	Space_Flight	seed	Q4	Sanitized	seed from Q4
Q4_Seed2	Space_Flight	seed	Q4	Sanitized	seed from Q4
Q4_Seed3	Space_Flight	seed	Q4	Sanitized	seed from Q4
