"SampleID","Study_Group","BC_Distance","UF_Distance"
"Q1_Fruit1_S5_L001",NA,0.678393,0.469111
"Q1_Fruit2_S6_L001",NA,0.789058,0.604299
"Q1_Fruit3_S7_L001",NA,0.659251,0.451195
"Q1_Leaf_S1_L001",NA,0.698093,0.4593
"Q1_Seed1_S8_L001",NA,0.702881,0.492834
"Q1_Seed2_S9_L001",NA,0.715317,0.550889
"Q1_Seed3_S10_L001",NA,0.654503,0.477486
"Q1-1-Swab1_S1_L001",NA,0.672677,0.462366
"Q1-1-Swab2_S2_L001",NA,0.688125,0.44323
"Q1-Arcillite1_S22_L001",NA,0.449272,0.317437
"Q1-Arcillite2_S23_L001",NA,0.434711,0.451814
"Q1-Arcillite3_S24_L001",NA,0.442937,0.349292
"Q1-Arcillite4_S25_L001",NA,0.455765,0.327698
"Q1-Foam1_S13_L001",NA,0.419591,0.422412
"Q1-Foam2_S14_L001",NA,0.516263,0.527248
"Q1-Foam3_S15_L001",NA,0.394712,0.741576
"Q1-Rhizosphere_S21_L001",NA,0.447143,0.352273
"Q1-Root2_S18_L001",NA,0.439531,0.442154
"Q1-Root3_S19_L001",NA,0.414611,0.510139
"Q1-Root4_S20_L001",NA,0.427186,0.362857
"Q1-RSJ-Root1_S17_L001",NA,0.620693,0.505687
"Q1-Stem_S16_L001",NA,0.595301,0.471006
"Q1-Wick1_S9_L001",NA,0.586412,0.536863
"Q1-Wick2_S10_L001",NA,0.530348,0.488155
"Q1-Wick3_S11_L001",NA,0.671441,0.495439
"Q1-Wick4_S12_L001",NA,0.640115,0.388792
"Q2_Fruit1_S11_L001",NA,0.728027,0.475779
"Q2_Leaf_S2_L001",NA,0.724683,0.493825
"Q2_Seed1_S12_L001",NA,0.707356,0.495232
"Q2-1-Swab3_S3_L001",NA,0.680367,0.400984
"Q2-1-Swab4_S4_L001",NA,0.613143,0.485398
"Q2-Arcillite1_S39_L001",NA,0.444384,0.671186
"Q2-Arcillite2_S40_L001",NA,0.447665,0.690392
"Q2-Arcillite3_S41_L001",NA,0.472962,0.376826
"Q2-Arcillite4_S42_L001",NA,0.440087,0.605837
"Q2-Foam1_S30_L001",NA,0.511996,0.440515
"Q2-Foam2_S31_L001",NA,0.578133,0.506696
"Q2-Foam3_S32_L001",NA,0.491192,0.540143
"Q2-Rhizosphere_S38_L001",NA,0.406793,0.719306
"Q2-Root2_S35_L001",NA,0.448782,0.332895
