Genus,Space_Degree,Terrestrial_Degree,nitrification,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,denitrification,nitrogen_fixation,nitrate_reduction,cellulolysis,chitinolysis
Rhodanobacter,0,8,0,0,0,0,0,0,0,0
Gemmatimonas,0,6,0,0,0,0,0,0,0,0
Pseudomonas,1,5,0,0,0,1,0,1,0,0
Methylobacterium-Methylorubrum,0,5,0,0,0,0,0,0,0,0
uncultured,4,5,0,0,0,0,0,0,0,0
Mesorhizobium,6,3,0,0,0,0,1,0,0,0
KD4-96,0,3,0,0,0,0,0,0,0,0
Cupriavidus,4,3,0,0,0,0,0,1,0,0
Staphylococcus,2,1,0,0,0,0,0,0,0,0
Burkholderia-Caballeronia-Paraburkholderia,3,1,0,0,0,0,0,0,0,0
Ralstonia,5,1,0,0,0,0,0,0,0,0
Mycobacterium,6,1,0,0,0,0,0,0,0,0
Sphingomonas,1,0,0,0,0,0,0,0,0,0
Acinetobacter,0,0,0,0,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,0,1,0,0
