group,Space_Flight_mean,Terrestrial_Soil_mean,Log2FC,n_Space_samples,n_Terr_samples
denitrification,0.1480454150777784,0.010230428216495346,3.8549701046239893,106,20
nitrogen_fixation,4.737298486912234,0.6569739411406744,2.8501546321199718,106,20
fermentation,1.6914873268006039,0.6212216007423198,1.4451109983438908,106,20
nitrate_reduction,1.6692897365727053,0.6238132441539345,1.4200468468482876,106,20
methylotrophy,0.25775537972293483,0.15246005898665735,0.7575673340057814,106,20
human_pathogens_all,0.23679278948900667,0.16891937359717465,0.48728790013771317,106,20
aerobic_chemoheterotrophy,40.58548009368925,29.968855893262866,0.43749965912601185,106,20
chemoheterotrophy,41.73981730975641,39.57127739145539,0.07697064673725015,106,20
plant_pathogen,0.0,0.0,0.0,106,20
aromatic_compound_degradation,1.5349653891268122,1.9209507965436259,-0.3236142516335842,106,20
nitrification,0.004462225270969896,7.3409906051291385,-10.683672611869895,106,20
dark_sulfide_oxidation,0.0,0.054063009717756204,-15.7223808944816,106,20
sulfate_respiration,0.0,0.09066581806215152,-16.46828703420597,106,20
