,Study_Group,nitrification,nitrogen_fixation,denitrification,nitrate_reduction,fermentation,aerobic_chemoheterotrophy,ureolysis,cellulolysis,methylotrophy,sulfate_respiration
Q1_Fruit1_S5_L001,Space_Flight,0,0,1,3,2,8,0,0,0,0
Q1_Fruit2_S6_L001,Space_Flight,0,0,0,0,0,1,0,0,0,0
Q1_Fruit3_S7_L001,Space_Flight,0,2,1,3,3,6,2,0,0,0
Q1_Leaf_S1_L001,Space_Flight,0,0,1,2,2,7,1,0,1,0
Q1_Seed1_S8_L001,Space_Flight,0,0,1,1,0,3,0,0,0,0
Q1_Seed2_S9_L001,Space_Flight,0,0,1,2,5,11,0,0,0,0
Q1_Seed3_S10_L001,Space_Flight,0,2,1,1,0,8,2,0,1,0
Q1-1-Swab1_S1_L001,Space_Flight,0,1,2,11,6,27,3,0,2,0
Q1-1-Swab2_S2_L001,Space_Flight,0,1,1,7,4,11,2,0,1,0
Q1-Arcillite1_S22_L001,Space_Flight,0,2,1,5,1,24,4,0,1,0
Q1-Arcillite2_S23_L001,Space_Flight,0,2,1,6,2,24,4,0,1,0
Q1-Arcillite3_S24_L001,Space_Flight,1,2,1,7,5,24,4,0,1,0
Q1-Arcillite4_S25_L001,Space_Flight,1,2,1,5,1,23,4,0,1,0
Q1-Foam1_S13_L001,Space_Flight,0,2,1,7,3,24,4,0,1,0
Q1-Foam2_S14_L001,Space_Flight,0,2,1,5,3,20,4,0,1,0
Q1-Foam3_S15_L001,Space_Flight,0,2,1,6,2,21,4,0,1,0
Q1-Rhizosphere_S21_L001,Space_Flight,0,2,1,6,2,23,5,0,1,0
Q1-Root2_S18_L001,Space_Flight,0,2,1,5,7,23,4,0,1,0
Q1-Root3_S19_L001,Space_Flight,0,2,1,5,3,24,4,0,1,0
Q1-Root4_S20_L001,Space_Flight,0,2,1,5,5,24,4,0,1,0
Q1-RSJ-Root1_S17_L001,Space_Flight,0,3,1,4,4,14,2,0,1,0
Q1-Stem_S16_L001,Space_Flight,0,2,1,4,0,15,3,0,1,0
Q1-Wick1_S9_L001,Space_Flight,0,3,1,4,2,18,4,0,1,0
Q1-Wick2_S10_L001,Space_Flight,0,2,1,6,5,21,6,0,2,0
Q1-Wick3_S11_L001,Space_Flight,0,2,1,5,2,17,2,0,1,0
Q1-Wick4_S12_L001,Space_Flight,0,2,2,7,3,21,3,0,2,0
Q2_Fruit1_S11_L001,Space_Flight,0,1,2,4,3,13,1,0,1,0
Q2_Leaf_S2_L001,Space_Flight,0,1,1,2,2,10,0,0,0,0
Q2_Seed1_S12_L001,Space_Flight,0,0,1,2,4,7,0,0,0,0
Q2-1-Swab3_S3_L001,Space_Flight,0,1,1,7,6,12,2,0,1,0
Q2-1-Swab4_S4_L001,Space_Flight,0,2,2,8,8,16,3,0,2,0
Q2-Arcillite1_S39_L001,Space_Flight,2,2,1,6,3,23,4,0,1,0
Q2-Arcillite2_S40_L001,Space_Flight,2,2,1,5,2,25,4,0,1,0
Q2-Arcillite3_S41_L001,Space_Flight,2,2,1,5,3,25,4,0,1,0
Q2-Arcillite4_S42_L001,Space_Flight,1,2,1,8,8,28,4,0,1,0
Q2-Foam1_S30_L001,Space_Flight,0,2,1,4,2,16,3,0,1,0
Q2-Foam2_S31_L001,Space_Flight,0,2,1,5,6,18,3,0,1,0
Q2-Foam3_S32_L001,Space_Flight,1,2,1,5,2,22,4,0,1,0
Q2-Rhizosphere_S38_L001,Space_Flight,0,2,1,6,11,24,4,0,1,0
Q2-Root2_S35_L001,Space_Flight,0,2,2,4,1,20,4,0,2,0
Q2-Root3_S36_L001,Space_Flight,0,2,1,6,4,23,4,0,1,0
Q2-Root4_S37_L001,Space_Flight,1,2,1,5,2,23,5,0,1,0
Q2-RSJ-Root1_S34_L001,Space_Flight,0,3,1,5,4,21,4,0,1,0
Q2-Stem_S33_L001,Space_Flight,0,2,1,5,4,17,3,0,1,0
Q2-Water_S43_L001,Space_Flight,1,2,1,5,5,25,4,1,1,0
Q2-Wick1_S26_L001,Space_Flight,0,2,2,10,7,25,4,0,2,0
Q2-Wick2_S27_L001,Space_Flight,0,2,1,6,9,16,3,0,1,0
Q2-Wick3_S28_L001,Space_Flight,0,3,1,6,10,28,4,0,1,0
Q2-Wick4_S29_L001,Space_Flight,0,2,1,4,2,16,3,0,1,0
Q3_Fruit1_S13_L001,Space_Flight,0,0,1,2,1,7,0,0,0,0
Q3_Fruit2_S14_L001,Space_Flight,0,0,1,2,1,6,0,0,0,0
Q3_Fruit3_S15_L001,Space_Flight,0,0,2,3,2,9,0,0,1,0
Q3_Leaf_S3_L001,Space_Flight,0,0,1,3,3,8,1,0,1,0
Q3_Seed1_S16_L001,Space_Flight,0,0,0,2,1,5,0,0,0,0
Q3_Seed2_S17_L001,Space_Flight,0,0,0,1,1,4,1,0,1,0
Q3_Seed3_S18_L001,Space_Flight,0,0,0,1,3,2,1,0,1,0
Q3-1-Swab5_S5_L001,Space_Flight,0,1,1,5,4,10,3,0,1,0
Q3-1-Swab6_S6_L001,Space_Flight,0,0,1,4,2,8,1,0,1,0
Q3-Arcillite1_S14_L001,Space_Flight,1,2,1,7,4,31,5,0,1,0
Q3-Arcillite2_S15_L001,Space_Flight,1,2,1,5,3,23,4,0,1,0
Q3-Arcillite3_S16_L001,Space_Flight,1,2,1,5,4,23,4,0,1,0
Q3-Arcillite4_S17_L001,Space_Flight,1,2,0,5,2,24,4,0,1,0
Q3-Foam1_S5_L001,Space_Flight,0,2,1,8,7,23,4,0,1,0
Q3-Foam2_S6_L001,Space_Flight,0,2,1,6,4,25,4,0,1,0
Q3-Foam3_S7_L001,Space_Flight,0,2,1,5,4,20,4,0,1,0
Q3-Rhizosphere_S13_L001,Space_Flight,0,2,0,4,3,23,4,0,1,0
Q3-Root1_S9_L001,Space_Flight,0,2,1,4,2,18,4,0,1,0
Q3-Root2_S10_L001,Space_Flight,0,2,1,5,2,25,4,0,1,0
Q3-Root3_S11_L001,Space_Flight,0,2,1,4,1,23,4,0,1,0
Q3-Root4_S12_L001,Space_Flight,0,2,1,5,4,25,4,0,1,0
Q3-Stem_S8_L001,Space_Flight,0,2,1,3,2,13,2,0,1,0
Q3-Water_S18_L001,Space_Flight,0,2,0,1,0,12,2,0,1,0
Q3-Wick1_S1_L001,Space_Flight,0,2,1,5,4,16,4,0,1,0
Q3-Wick2_S2_L001,Space_Flight,0,2,1,4,3,12,2,0,1,0
Q3-Wick3_S3_L001,Space_Flight,0,2,1,6,3,18,2,0,1,0
Q3-Wick4_S4_L001,Space_Flight,0,2,2,8,12,34,4,0,2,0
Q4_Fruit1_S19_L001,Space_Flight,0,0,1,4,2,9,0,0,0,0
Q4_Fruit2_S20_L001,Space_Flight,0,0,1,1,0,5,0,0,0,0
Q4_Fruit3_S21_L001,Space_Flight,0,3,2,5,2,26,3,2,1,0
Q4_Leaf_S4_L001,Space_Flight,0,0,0,2,3,5,2,0,1,0
Q4_Seed1_S22_L001,Space_Flight,0,1,1,2,2,5,1,0,1,0
Q4_Seed2_S23_L001,Space_Flight,0,0,0,1,2,3,0,0,0,0
Q4_Seed3_S24_L001,Space_Flight,0,0,1,2,2,11,1,0,1,0
Q4-1-Swab7_S7_L001,Space_Flight,0,1,1,6,2,11,3,0,1,0
Q4-1-Swab8_S8_L001,Space_Flight,0,2,1,7,5,21,4,0,1,0
Q4-Arcillite1_S32_L001,Space_Flight,1,2,1,7,3,24,5,0,1,0
Q4-Arcillite2_S33_L001,Space_Flight,0,2,0,5,3,21,5,0,1,0
Q4-Arcillite3_S34_L001,Space_Flight,0,2,1,6,3,24,4,0,1,0
Q4-Arcillite4_S35_L001,Space_Flight,1,2,0,5,3,24,4,0,1,0
Q4-Foam1_S23_L001,Space_Flight,0,2,1,6,3,22,6,0,1,0
Q4-Foam2_S24_L001,Space_Flight,0,2,2,8,3,24,5,0,2,0
Q4-Foam3_S25_L001,Space_Flight,1,2,0,5,2,24,5,0,1,0
Q4-Rhizosphere_S31_L001,Space_Flight,0,2,0,6,6,21,5,0,1,0
Q4-Root1_S27_L001,Space_Flight,1,2,0,5,3,18,5,0,1,0
Q4-Root2_S28_L001,Space_Flight,0,2,0,5,4,22,5,0,1,0
Q4-Root3_S29_L001,Space_Flight,0,2,0,4,4,23,5,0,1,0
Q4-Root4_S30_L001,Space_Flight,0,2,0,6,3,24,5,0,1,0
Q4-Stem_S26_L001,Space_Flight,0,2,0,4,1,15,5,0,1,0
Q4-Water_S36_L001,Space_Flight,1,3,0,6,5,26,6,0,1,0
Q4-Wick1_S19_L001,Space_Flight,0,2,1,6,4,20,5,0,1,0
Q4-Wick2_S20_L001,Space_Flight,0,3,1,7,5,20,4,0,2,0
Q4-Wick3_S21_L001,Space_Flight,0,2,1,6,2,20,5,0,1,0
Q4-Wick4_S22_L001,Space_Flight,0,2,2,9,6,23,4,0,2,0
SanSeed1_S25_L001,Space_Flight,0,0,1,4,8,4,2,0,1,0
SanSeed2_S26_L001,Space_Flight,0,0,1,2,3,4,1,0,1,0
SanSeed3_S27_L001,Space_Flight,0,0,1,4,2,4,1,0,0,0
Terrestrial_SRR30151802,Terrestrial_Soil,4,1,1,9,9,31,2,1,0,1
Terrestrial_SRR30151803,Terrestrial_Soil,5,1,1,7,9,38,2,1,0,1
Terrestrial_SRR30151804,Terrestrial_Soil,5,1,1,5,5,31,2,1,0,0
Terrestrial_SRR30151805,Terrestrial_Soil,5,1,1,10,8,40,4,2,1,1
Terrestrial_SRR30151806,Terrestrial_Soil,5,1,1,6,7,33,2,1,0,1
Terrestrial_SRR30151807,Terrestrial_Soil,6,1,1,9,7,35,2,1,0,0
Terrestrial_SRR30151818,Terrestrial_Soil,5,4,1,11,15,52,5,3,2,0
Terrestrial_SRR30151829,Terrestrial_Soil,5,3,1,8,8,43,3,2,1,0
Terrestrial_SRR30151830,Terrestrial_Soil,2,1,1,11,16,41,2,2,0,0
Terrestrial_SRR30151831,Terrestrial_Soil,5,1,2,10,12,49,4,1,2,1
Terrestrial_SRR30151832,Terrestrial_Soil,5,1,1,7,6,32,3,1,2,1
Terrestrial_SRR30151833,Terrestrial_Soil,5,1,1,7,4,31,2,1,0,0
Terrestrial_SRR30151834,Terrestrial_Soil,5,2,1,9,9,44,6,3,2,1
Terrestrial_SRR30151835,Terrestrial_Soil,5,1,1,5,8,31,2,1,1,2
Terrestrial_SRR30151836,Terrestrial_Soil,5,1,1,5,8,33,2,1,0,0
Terrestrial_SRR30151837,Terrestrial_Soil,5,1,1,7,9,43,3,1,0,0
Terrestrial_SRR30151838,Terrestrial_Soil,5,1,1,9,10,42,3,1,1,2
Terrestrial_SRR30151839,Terrestrial_Soil,4,1,1,4,8,20,2,1,0,0
Terrestrial_SRR30151840,Terrestrial_Soil,5,1,1,10,8,43,3,2,2,1
Terrestrial_SRR30151841,Terrestrial_Soil,5,1,1,10,11,47,2,1,1,3
