,Study_Group,N-Fixation,P-Solubilization,IAA/Phytohormone,Biocontrol,ACC-Deaminase,Total_PGP
Q1_Fruit1_S5_L001,Space_Flight,4.979253112033195,22.406639004149376,36.92946058091287,22.406639004149376,15.352697095435685,48.96265560165975
Q1_Fruit2_S6_L001,Space_Flight,0.0,0.0,0.0,0.0,0.0,0.0
Q1_Fruit3_S7_L001,Space_Flight,9.48905109489051,20.8029197080292,48.9051094890511,16.423357664233578,24.45255474452555,53.284671532846716
Q1_Leaf_S1_L001,Space_Flight,2.6578073089700998,4.318936877076412,40.863787375415285,4.318936877076412,4.318936877076412,43.521594684385384
Q1_Seed1_S8_L001,Space_Flight,5.154639175257731,28.865979381443296,63.91752577319588,28.865979381443296,28.865979381443296,69.0721649484536
Q1_Seed2_S9_L001,Space_Flight,0.0,2.388463271744029,39.02658855340243,2.388463271744029,2.388463271744029,39.02658855340243
Q1_Seed3_S10_L001,Space_Flight,19.45430346051464,21.472937000887313,27.883762200532388,20.94055013309672,25.221827861579413,43.589174800354925
Q1-1-Swab1_S1_L001,Space_Flight,3.18979628955984,44.09785376500545,50.820753001091305,44.127409967260824,43.16797017097126,57.72326300472899
Q1-1-Swab2_S2_L001,Space_Flight,0.7411081609430163,97.46301753566948,98.33688326087591,97.46301753566948,98.17348933562863,98.50027718612318
Q1-Arcillite1_S22_L001,Space_Flight,25.713823318613738,6.762536702656463,28.603796268466926,6.762536702656463,28.287055233163017,36.0668624141678
Q1-Arcillite2_S23_L001,Space_Flight,20.49251063305184,29.906100392446938,44.57457519160041,29.906100392446938,46.18751155766505,51.18247755244612
Q1-Arcillite3_S24_L001,Space_Flight,29.257907542579076,6.856483469300129,27.020717045942465,6.856483469300129,30.213253184485474,37.042901102046656
Q1-Arcillite4_S25_L001,Space_Flight,26.85165994074688,9.278111703100425,28.306165494202702,9.278111703100425,28.72313188085978,38.159739578888335
Q1-Foam1_S13_L001,Space_Flight,15.201837155533337,3.1540961069799414,30.620821096044494,3.1540961069799414,17.38267824782853,33.432012747609825
Q1-Foam2_S14_L001,Space_Flight,2.5031492543378437,70.97606566703239,82.25852330448211,70.83993660855785,72.91438091755049,83.85346824332561
Q1-Foam3_S15_L001,Space_Flight,20.062834930938184,12.796248773492337,46.469544871311044,12.796248773492337,32.53358744056155,49.62166955996679
Q1-Rhizosphere_S21_L001,Space_Flight,21.932436720447168,10.017330176474896,22.323586126095343,10.017330176474896,23.310918011179183,33.10979032927335
Q1-Root2_S18_L001,Space_Flight,18.92853276419369,8.620609659908133,24.180701835784653,8.620609659908133,23.67806492522309,29.961799594797316
