"sample1","sample2","group1","group2","pair_type","bnti","rcbray","process"
"Q1_Fruit1_S5_L001","Q1_Fruit2_S6_L001","Space_Flight","Space_Flight","Space_Flight",0.0283431537319433,0.498498498498498,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1_Fruit3_S7_L001","Space_Flight","Space_Flight","Space_Flight",-1.60468750503448,0.0600600600600601,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1_Leaf_S1_L001","Space_Flight","Space_Flight","Space_Flight",-1.63594570654814,-0.201201201201201,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1_Seed1_S8_L001","Space_Flight","Space_Flight","Space_Flight",-1.33883468619192,-0.227227227227227,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1_Seed2_S9_L001","Space_Flight","Space_Flight","Space_Flight",-1.76797327626858,0.922922922922923,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1_Seed3_S10_L001","Space_Flight","Space_Flight","Space_Flight",-1.74086837370368,0.997997997997998,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-1-Swab1_S1_L001","Space_Flight","Space_Flight","Space_Flight",-1.16632969849403,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-1-Swab2_S2_L001","Space_Flight","Space_Flight","Space_Flight",-1.183330566005,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Arcillite1_S22_L001","Space_Flight","Space_Flight","Space_Flight",-1.84996452077461,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Arcillite2_S23_L001","Space_Flight","Space_Flight","Space_Flight",-1.74517736179029,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Arcillite3_S24_L001","Space_Flight","Space_Flight","Space_Flight",-1.7843161484092,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Arcillite4_S25_L001","Space_Flight","Space_Flight","Space_Flight",-1.84987740767512,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Foam1_S13_L001","Space_Flight","Space_Flight","Space_Flight",-1.71874036779035,0.992992992992993,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Foam2_S14_L001","Space_Flight","Space_Flight","Space_Flight",-1.26921885461671,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Foam3_S15_L001","Space_Flight","Space_Flight","Space_Flight",-1.56006559313982,0.627627627627628,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1-Rhizosphere_S21_L001","Space_Flight","Space_Flight","Space_Flight",-1.69564558797214,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Root2_S18_L001","Space_Flight","Space_Flight","Space_Flight",-1.67464342211817,0.991991991991992,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Root3_S19_L001","Space_Flight","Space_Flight","Space_Flight",-1.73501782089126,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Root4_S20_L001","Space_Flight","Space_Flight","Space_Flight",-1.49548386800011,0.995995995995996,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-RSJ-Root1_S17_L001","Space_Flight","Space_Flight","Space_Flight",-1.17105774953678,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Stem_S16_L001","Space_Flight","Space_Flight","Space_Flight",-1.54348140130796,0.990990990990991,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Wick1_S9_L001","Space_Flight","Space_Flight","Space_Flight",-1.48902666389903,0.960960960960961,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Wick2_S10_L001","Space_Flight","Space_Flight","Space_Flight",-1.65028943719153,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q1-Wick3_S11_L001","Space_Flight","Space_Flight","Space_Flight",-1.18928845684754,0.923923923923924,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q1-Wick4_S12_L001","Space_Flight","Space_Flight","Space_Flight",-1.17092435794003,0.972972972972973,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2_Fruit1_S11_L001","Space_Flight","Space_Flight","Space_Flight",-1.57581507768257,0.983983983983984,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2_Leaf_S2_L001","Space_Flight","Space_Flight","Space_Flight",-1.4631356993611,0.922922922922923,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q2_Seed1_S12_L001","Space_Flight","Space_Flight","Space_Flight",-1.58557666310525,0.279279279279279,"Undominated stochasticity"
"Q1_Fruit1_S5_L001","Q2-1-Swab3_S3_L001","Space_Flight","Space_Flight","Space_Flight",-1.15124493277347,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2-1-Swab4_S4_L001","Space_Flight","Space_Flight","Space_Flight",-1.2943326603754,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2-Arcillite1_S39_L001","Space_Flight","Space_Flight","Space_Flight",-1.80406380927341,0.995995995995996,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2-Arcillite2_S40_L001","Space_Flight","Space_Flight","Space_Flight",-1.68434094940989,1,"Dispersal limitation"
"Q1_Fruit1_S5_L001","Q2-Arcillite3_S41_L001","Space_Flight","Space_Flight","Space_Flight",-1.86239630368799,1,"Dispersal limitation"
