id,(Intercept),Study_GroupTerrestrial_Soil
0319-6G20,0.07077181114717368,0.1717851351942383
11-24,0.0575630032022696,0.2919110232742605
27F-1492R,0.041649282398806275,0.1998682667416635
28-YEA-48,0.22358763898046397,0.25465124635781394
4-29-1,0.041649282398806275,0.19022250577686325
67-14,0.12340521769553113,0.1523160952767115
A0839,0.04164928239880628,0.14720254632157084
A21b,0.04164928239880627,0.07319998994573375
A4b,0.041649282398806275,0.20169504461796595
AD3,0.04164928239880627,0.17411926862686591
ADurb.Bin063-1,0.04164928239880626,0.11803888361932689
AKIW659,0.04164928239880628,0.17464277856925836
AKYG1722,0.04164928239880626,0.2266567019965544
AKYH767,0.04164928239880628,0.2192020970594013
Abditibacterium,0.04164928239880626,0.2178730350044594
Achromobacter,0.07236782304995035,0.40431615838694734
Acidibacter,0.27667546153345285,0.30522324528488004
Acidothermus,0.04164928239880627,0.10794525031292067
Acinetobacter,0.2706639434363227,0.4364657033290534
Actinoallomurus,0.041649282398806275,0.28865421343011693
Aeromicrobium,0.08495349093965636,0.27740446461932533
Agromyces,0.04164928239880626,0.24195032287131615
Ahniella,0.041649282398806275,0.28300657854380307
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.09310724164058583,0.32937440241195104
Ammoniphilus,0.04164928239880629,0.4317688405646931
Amycolatopsis,0.04532616115152162,0.12183679294220191
Anaerolinea,0.04164928239880627,0.25021767921718086
Anaerolineae,0.04164928239880627,0.2515572353130602
Anaeromyxobacter,0.04164928239880627,0.2103265190317753
Aquabacterium,0.23191433306907014,0.2619925244154905
Aquicella,0.041649282398806275,0.10014906714008956
Arenimonas,0.04164928239880627,0.3037374809563494
Armatimonadales,0.041649282398806275,0.1673965016806463
Asinibacterium,0.20212482476161148,0.23603023058846065
B10-SB3A,0.04164928239880629,0.21112641116810027
BD2-11_terrestrial_group,0.04164928239880627,0.21768478882766648
BD7-11,0.04164928239880627,0.17600031501546362
BIrii41,0.04164928239880627,0.23100592121756244
BSV26,0.041649282398806275,0.19493573955859209
Bacillus,0.2098306751662758,0.33253116509099545
Bathyarchaeia,0.041649282398806275,0.20542997395029947
Bdellovibrio,0.06820677818294887,0.20225118387854518
Bifidobacterium,0.0518233045602477,0.2770574269437884
Blfdi19,0.04164928239880629,0.22088164303249008
Bosea,0.25669689136559215,0.3872484354934867
Bradyrhizobium,0.3139640028325843,0.33679254748492987
Brevibacillus,0.1704106910212662,0.21052699449790876
Bryobacter,0.18904280866767564,0.19888535666353258
Burkholderia-Caballeronia-Paraburkholderia,0.2993905978125831,0.3854498924238943
C0119,0.06528374056394498,0.16276753927421633
CCD24,0.041649282398806275,0.19570705693897392
CL500-29_marine_group,0.04164928239880628,0.18672741517621702
CPla-3_termite_group,0.04164928239880626,0.12498309388986643
Candidatus_Adlerbacteria,0.04164928239880628,0.1488427878311101
Candidatus_Babela,0.2641517213915378,0.2909157212679342
Candidatus_Kaiserbacteria,0.04164928239880627,0.28293525582825435
Candidatus_Koribacter,0.041649282398806275,0.0771773629687831
Candidatus_Magasanikbacteria,0.041649282398806275,0.22428703849037612
Candidatus_Obscuribacter,0.12630307563036638,0.1755229098448969
Candidatus_Ovatusbacter,0.04164928239880628,0.216150848998489
Candidatus_Paracaedibacter,0.15118090560402797,0.21982138704065018
Candidatus_Solibacter,0.04164928239880626,0.10531637544352357
Candidatus_Udaeobacter,0.04164928239880626,0.1381312870350333
Caulobacter,0.20170937249990878,0.23567455509884117
Cellulomonas,0.2997638879233898,0.32359575626030135
Chthoniobacter,0.05458818309073099,0.2409617073318337
Chthonomonadales,0.041649282398806275,0.22789395295885553
Chthonomonas,0.041649282398806275,0.23840196665663962
Chujaibacter,0.04164928239880626,0.36825484224630395
Cloacibacterium,0.1298636751681199,0.17810221530037385
Clostridium_sensu_stricto_1,0.0478893337003499,0.17253502918501767
Clostridium_sensu_stricto_10,0.04164928239880626,0.31170529936375974
Cohnella,0.2470701468993785,0.29518069359691645
Conexibacter,0.04164928239880627,0.2251349113158517
Corynebacterium,0.17532607639643707,0.2497474881217035
Cupriavidus,0.29535765870940667,0.45907424000371116
Cutibacterium,0.10386465824044311,0.1601364799105245
DS-100,0.04164928239880626,0.21111423706549148
DSSD61,0.11053807981355304,0.16454328322844777
Dactylosporangium,0.04164928239880627,0.1637676865994375
Defluviicoccus,0.04496812669475117,0.30458667233342734
Desulfobacca,0.04164928239880628,0.26239599757921983
Devosia,0.20910160712766793,0.30926894968695645
Dokdonella,0.04164928239880629,0.19670606148410266
Domibacillus,0.041649282398806255,0.29368847909854007
Dongia,0.04164928239880626,0.08205663064991317
Dyella,0.05593922998264035,0.37717616933733145
Edaphobacter,0.0704206373529713,0.25653660759464003
Ellin516,0.04164928239880627,0.19507834317596875
Ellin517,0.04164928239880628,0.299206452915681
Ellin6067,0.04164928239880626,0.09240286323834823
Enhydrobacter,0.11699939221253398,0.16907965736191555
Escherichia-Shigella,0.13280131006758839,0.3299793977290229
FCPU426,0.04164928239880628,0.19760960522143256
Faecalibacterium,0.04621771197204719,0.24788425451846158
Ferruginibacter,0.11957655293378674,0.2303483632460344
Fimbriimonadaceae,0.04164928239880626,0.17766229358847593
Flavisolibacter,0.04164928239880627,0.16726341831834557
Flavobacterium,0.055568460587637,0.2811277990995776
Gaiella,0.0421622353177077,0.3192739533324591
Gemmata,0.1500047017926013,0.2141745821597883
Gemmatimonas,0.06870090652954129,0.1081992769624609
Gitt-GS-136,0.041649282398806255,0.19462539864513073
Granulicella,0.04164928239880628,0.3216723064229515
HSB_OF53-F07,0.04164928239880627,0.09799911315442908
Haliangium,0.04164928239880626,0.06729355788358872
Heliimonas,0.16029292185361085,0.20136942608821617
Holophaga,0.041649282398806275,0.24352941670189637
Hydrogenispora,0.041649282398806275,0.2084924476723325
Hydrotalea,0.11747828792733178,0.1692837059526605
Hyphomicrobium,0.2607084887613687,0.3002971255224964
IMCC26256,0.04164928239880627,0.10065862027569204
IS-44,0.04164928239880627,0.24626618951182808
Iamia,0.05383161759731986,0.15459055188945392
JG30-KF-AS9,0.041649282398806275,0.2017134308423931
JG30-KF-CM45,0.05229197555448451,0.07654636947570369
JG30-KF-CM66,0.04164928239880628,0.14860849865476358
Jatrophihabitans,0.22898055163342512,0.5298077785750064
KD4-96,0.04972677899847557,0.09808595313610431
KF-JG30-B3,0.0416492823988063,0.252723743848917
KF-JG30-C25,0.041649282398806275,0.22964608625210772
Kapabacteriales,0.04164928239880627,0.18764735481067202
Ktedonobacter,0.04164928239880627,0.2870818287081544
LWQ8,0.04164928239880626,0.1826623727267407
Lactococcus,0.11329472700431671,0.31034778959025777
Latescibacteraceae,0.04164928239880629,0.19283249877057354
Latescibacterota,0.041649282398806275,0.31196053432629745
Lawsonella,0.16293928703158753,0.20348227496539306
Legionella,0.1900227112490134,0.3197688825576002
Lineage_IIa,0.04164928239880626,0.18878017246784884
Lineage_IIb,0.04164928239880627,0.1611462949027794
Lineage_IV,0.18071055865280433,0.25297968068658794
Longimicrobiaceae,0.04164928239880628,0.257447359190467
Luteimonas,0.06874840461922774,0.2504573357726643
Luteolibacter,0.0851671285930284,0.23601816376096418
Lysobacter,0.05566199743022964,0.1432601687099547
MB-A2-108,0.04164928239880625,0.22979331939312833
MBNT15,0.041649282398806275,0.3126926781221238
MND1,0.04164928239880626,0.13440013139269613
Massilia,0.2618164195778574,0.4052115116995197
Meiothermus,0.28756756547006973,0.3123314420245144
Mesorhizobium,0.3237742600844243,0.3555276970142087
Methylobacterium-Methylorubrum,0.2835767651100832,0.34111768970049355
