sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
Q1_Fruit1_S5_L001	640624	622496	97.17	622309	618787	96.59
Q1_Fruit2_S6_L001	125086	21818	17.44	20947	20947	16.75
Q1_Fruit3_S7_L001	649369	629477	96.94	629347	625539	96.33
Q1_Leaf_S1_L001	458373	444935	97.07	444805	444066	96.88
Q1_Seed1_S8_L001	554995	537322	96.82	537107	532662	95.98
Q1_Seed2_S9_L001	287529	278548	96.88	278501	278501	96.86
Q1_Seed3_S10_L001	252740	245143	96.99	245099	244961	96.92
Q1-1-Swab1_S1_L001	219433	214322	97.67	214142	213974	97.51
Q1-1-Swab2_S2_L001	71010	69794	98.29	69552	69552	97.95
Q1-Arcillite1_S22_L001	73259	72022	98.31	71903	71186	97.17
Q1-Arcillite2_S23_L001	140623	138392	98.41	138158	137616	97.86
Q1-Arcillite3_S24_L001	177424	174566	98.39	174298	172053	96.97
Q1-Arcillite4_S25_L001	156841	154309	98.39	154067	153464	97.85
Q1-Foam1_S13_L001	233485	230221	98.6	229849	226713	97.1
Q1-Foam2_S14_L001	66175	64718	97.8	64494	64333	97.22
Q1-Foam3_S15_L001	219851	215852	98.18	214403	213457	97.09
Q1-Rhizosphere_S21_L001	273524	268983	98.34	268482	263112	96.19
Q1-Root2_S18_L001	168484	165222	98.06	165008	163783	97.21
Q1-Root3_S19_L001	194813	190851	97.97	190438	189735	97.39
Q1-Root4_S20_L001	201601	198146	98.29	197780	196953	97.69
Q1-RSJ-Root1_S17_L001	36928	35348	95.72	35121	35121	95.11
Q1-Stem_S16_L001	208302	201646	96.8	201297	201284	96.63
Q1-Wick1_S9_L001	223438	216592	96.94	216065	215710	96.54
Q1-Wick2_S10_L001	245955	240717	97.87	240399	239679	97.45
Q1-Wick3_S11_L001	245181	242306	98.83	241921	241763	98.61
Q1-Wick4_S12_L001	260113	257152	98.86	256242	255941	98.4
Q2_Fruit1_S11_L001	496006	482696	97.32	482598	480409	96.86
Q2_Leaf_S2_L001	102820	96951	94.29	96897	96684	94.03
Q2_Seed1_S12_L001	441197	428254	97.07	427794	425092	96.35
Q2-1-Swab3_S3_L001	94044	92947	98.83	92849	92766	98.64
Q2-1-Swab4_S4_L001	159887	158121	98.9	157894	157647	98.6
Q2-Arcillite1_S39_L001	181473	177821	97.99	177215	177077	97.58
Q2-Arcillite2_S40_L001	172393	168252	97.6	167503	167199	96.99
Q2-Arcillite3_S41_L001	175549	172771	98.42	172526	171362	97.61
Q2-Arcillite4_S42_L001	205036	201786	98.41	201386	200243	97.66
Q2-Foam1_S30_L001	27586	27157	98.44	27087	27087	98.19
Q2-Foam2_S31_L001	88444	75440	85.3	73846	73846	83.49
Q2-Foam3_S32_L001	190868	188214	98.61	187935	186179	97.54
Q2-Rhizosphere_S38_L001	168442	159746	94.84	157711	156502	92.91
Q2-Root2_S35_L001	71686	70365	98.16	70234	69513	96.97
Q2-Root3_S36_L001	198120	195216	98.53	194915	192873	97.35
Q2-Root4_S37_L001	80409	79090	98.36	78929	78101	97.13
Q2-RSJ-Root1_S34_L001	136156	133521	98.06	133312	133145	97.79
Q2-Stem_S33_L001	107641	104522	97.1	104250	104179	96.78
Q2-Water_S43_L001	135094	131900	97.64	131717	131609	97.42
Q2-Wick1_S26_L001	190493	187604	98.48	187239	186146	97.72
Q2-Wick2_S27_L001	112661	110450	98.04	109243	109243	96.97
Q2-Wick3_S28_L001	256405	252924	98.64	252686	252077	98.31
Q2-Wick4_S29_L001	187784	185538	98.8	184890	184725	98.37
Q3_Fruit1_S13_L001	588954	572111	97.14	571835	569002	96.61
Q3_Fruit2_S14_L001	524518	510546	97.34	510361	507607	96.78
Q3_Fruit3_S15_L001	527072	512589	97.25	512348	510117	96.78
Q3_Leaf_S3_L001	275659	266935	96.84	266901	266860	96.81
Q3_Seed1_S16_L001	625601	606692	96.98	606434	599213	95.78
Q3_Seed2_S17_L001	638437	620729	97.23	620442	609406	95.45
Q3_Seed3_S18_L001	560454	543452	96.97	543251	536023	95.64
Q3-1-Swab5_S5_L001	177942	175995	98.91	175816	175794	98.79
Q3-1-Swab6_S6_L001	84573	83431	98.65	83226	83215	98.39
Q3-Arcillite1_S14_L001	270374	265601	98.23	265178	263377	97.41
Q3-Arcillite2_S15_L001	218933	214656	98.05	214367	213598	97.56
