	shannon_entropy
Q1_Seed2_S9_L001	4.511130522655597
Q1_Seed3_S10_L001	4.657618327327158
Q1-1-Swab1_S1_L001	2.0507404161520313
Q1-1-Swab2_S2_L001	0.6540251555057907
Q1-Arcillite1_S22_L001	5.044812841743546
Q1-Arcillite2_S23_L001	4.864988531496628
Q1-Arcillite3_S24_L001	5.004475809760398
Q1-Arcillite4_S25_L001	5.114934423476468
Q1-Foam1_S13_L001	4.73882917064754
Q1-Foam2_S14_L001	2.9072103815330976
Q1-Foam3_S15_L001	4.578766155250326
Q1-Rhizosphere_S21_L001	4.679379770561921
Q1-Root2_S18_L001	4.693142027999649
Q1-Root3_S19_L001	4.72521117052614
Q1-Root4_S20_L001	4.356274544876448
Q1-RSJ-Root1_S17_L001	1.5352855156794825
Q1-Stem_S16_L001	3.832394091940724
Q1-Wick1_S9_L001	3.914231421580706
Q1-Wick2_S10_L001	4.154417033531252
Q1-Wick3_S11_L001	1.7689856274164726
Q1-Wick4_S12_L001	2.0515993127107093
Q2_Leaf_S2_L001	3.7750789144537147
Q2-1-Swab3_S3_L001	0.8353916714838173
Q2-1-Swab4_S4_L001	2.32157568263187
Q2-Arcillite1_S39_L001	5.0794432110046355
Q2-Arcillite2_S40_L001	4.710380149632278
Q2-Arcillite3_S41_L001	4.999883423068913
Q2-Arcillite4_S42_L001	5.137169093215558
Q2-Foam1_S30_L001	4.205198224404621
Q2-Foam2_S31_L001	3.6173330181216237
Q2-Foam3_S32_L001	4.0352853782287506
Q2-Rhizosphere_S38_L001	4.747368500984845
Q2-Root2_S35_L001	4.4660614803803105
Q2-Root3_S36_L001	4.586682618838221
Q2-Root4_S37_L001	4.4783610140270325
Q2-RSJ-Root1_S34_L001	4.328984128277495
Q2-Stem_S33_L001	3.780564929561045
Q2-Water_S43_L001	4.277087680929541
Q2-Wick1_S26_L001	2.965908413624704
Q2-Wick2_S27_L001	3.056285504805717
Q2-Wick3_S28_L001	2.8268922187059835
Q2-Wick4_S29_L001	1.6172713091513367
Q3_Leaf_S3_L001	4.037091911690573
Q3-1-Swab5_S5_L001	1.8924743520896397
Q3-1-Swab6_S6_L001	1.5551964627044284
Q3-Arcillite1_S14_L001	4.910608596803032
Q3-Arcillite2_S15_L001	4.9039151705640345
Q3-Arcillite3_S16_L001	4.722825221584625
Q3-Arcillite4_S17_L001	4.437482924053724
Q3-Foam1_S5_L001	4.148799629553372
Q3-Foam2_S6_L001	4.283558077638379
Q3-Foam3_S7_L001	4.261071713360318
Q3-Rhizosphere_S13_L001	4.009868577888442
Q3-Root1_S9_L001	4.788193165424674
Q3-Root2_S10_L001	4.188707277219642
Q3-Root3_S11_L001	3.820674822680551
Q3-Root4_S12_L001	4.215183429255139
Q3-Stem_S8_L001	1.6234400714050934
Q3-Water_S18_L001	4.245258537373177
Q3-Wick1_S1_L001	1.4455546995595419
Q3-Wick2_S2_L001	1.6596384012042165
Q3-Wick3_S3_L001	2.3475580025800014
Q3-Wick4_S4_L001	3.7451927698232277
Q4_Fruit1_S19_L001	4.186288500704319
Q4_Fruit3_S21_L001	5.668182289854614
Q4_Leaf_S4_L001	4.173924241048646
Q4_Seed3_S24_L001	3.6230218420997895
Q4-1-Swab7_S7_L001	1.4405113367421791
Q4-1-Swab8_S8_L001	4.22013004256153
Q4-Arcillite1_S32_L001	5.095947433261998
Q4-Arcillite2_S33_L001	5.074467418051307
Q4-Arcillite3_S34_L001	4.768106338591921
Q4-Arcillite4_S35_L001	4.765013423580259
Q4-Foam1_S23_L001	4.587045649261784
Q4-Foam2_S24_L001	3.9825469509295965
Q4-Foam3_S25_L001	4.934644686906708
Q4-Rhizosphere_S31_L001	4.812114630159195
Q4-Root1_S27_L001	3.6553020536719996
Q4-Root2_S28_L001	4.536037773309184
Q4-Root3_S29_L001	4.919786635971929
Q4-Root4_S30_L001	4.812616436916303
Q4-Stem_S26_L001	3.847288785235023
Q4-Water_S36_L001	3.8182710613451016
Q4-Wick1_S19_L001	4.247617590041295
Q4-Wick2_S20_L001	4.197690069940876
Q4-Wick3_S21_L001	2.958222075856852
Q4-Wick4_S22_L001	2.4479162426893435
SanSeed3_S27_L001	0.5717187030748804
Terrestrial_SRR30151802	7.264300202285261
Terrestrial_SRR30151803	8.726609335373478
Terrestrial_SRR30151804	6.376424411589976
Terrestrial_SRR30151805	8.678283699503561
Terrestrial_SRR30151806	7.262030879118334
Terrestrial_SRR30151807	7.898407866780273
Terrestrial_SRR30151818	8.808613917954704
Terrestrial_SRR30151829	8.844356998684868
Terrestrial_SRR30151830	6.8493128112272545
Terrestrial_SRR30151831	8.414564758351606
Terrestrial_SRR30151832	8.782532842429482
Terrestrial_SRR30151833	7.542102423238033
Terrestrial_SRR30151834	8.93092534416964
Terrestrial_SRR30151835	8.755572227407287
Terrestrial_SRR30151836	8.80501670903294
Terrestrial_SRR30151837	8.52723845623099
Terrestrial_SRR30151838	8.692925603470385
Terrestrial_SRR30151839	5.767421942494461
Terrestrial_SRR30151840	9.031286563149578
Terrestrial_SRR30151841	9.001099569571188
UnsanSeed1_S28_L001	3.4108318165522165
UnsanSeed2_S29_L001	3.641880944365078
UnsanSeed3_S30_L001	2.073522654894084
